countrySource,countryTarget,value,type,year,month
United States,United States,0.0,export,2011,1
Canada,United States,26198.821483,export,2011,1
Brazil,United States,1658.868746,export,2011,1
United Kingdom,United States,3814.078651,export,2011,1
Netherlands,United States,1966.772641,export,2011,1
France,United States,2395.032731,export,2011,1
Germany,United States,6925.945215000001,export,2011,1
Italy,United States,2485.803377,export,2011,1
Russia,United States,659.126742,export,2011,1
China,United States,25252.598618,export,2011,1
South Korea,United States,4156.185792,export,2011,1
Japan,United States,9241.494593,export,2011,1
India,United States,2257.059587,export,2011,1
Singapore,United States,1997.01452,export,2011,1
Indonesia,United States,1315.161542,export,2011,1
United States,Canada,20650.576862,export,2011,1
Canada,Canada,0.0,export,2011,1
Brazil,Canada,299.71574,export,2011,1
United Kingdom,Canada,504.331209,export,2011,1
Netherlands,Canada,144.313277,export,2011,1
France,Canada,247.646237,export,2011,1
Germany,Canada,730.073967,export,2011,1
Italy,Canada,237.151075,export,2011,1
Russia,Canada,69.03482,export,2011,1
China,Canada,2156.97676,export,2011,1
South Korea,Canada,351.478835,export,2011,1
Japan,Canada,713.194934,export,2011,1
India,Canada,148.618686,export,2011,1
Singapore,Canada,101.805264,export,2011,1
Indonesia,Canada,75.107388,export,2011,1
United States,Brazil,3225.212951,export,2011,1
Canada,Brazil,165.057966,export,2011,1
Brazil,Brazil,0.0,export,2011,1
United Kingdom,Brazil,205.184016,export,2011,1
Netherlands,Brazil,148.68678,export,2011,1
France,Brazil,326.794097,export,2011,1
Germany,Brazil,999.663283,export,2011,1
Italy,Brazil,433.391132,export,2011,1
Russia,Brazil,84.364953,export,2011,1
China,Brazil,2316.844078,export,2011,1
South Korea,Brazil,728.6985440000001,export,2011,1
Japan,Brazil,410.366319,export,2011,1
India,Brazil,336.500879,export,2011,1
Singapore,Brazil,85.360665,export,2011,1
Indonesia,Brazil,136.881826,export,2011,1
United States,United Kingdom,4136.261025,export,2011,1
Canada,United Kingdom,1625.419684,export,2011,1
Brazil,United Kingdom,491.271184,export,2011,1
United Kingdom,United Kingdom,0.0,export,2011,1
Netherlands,United Kingdom,3709.667446,export,2011,1
France,United Kingdom,2979.4488300000003,export,2011,1
Germany,United Kingdom,6847.340947,export,2011,1
Italy,United Kingdom,1658.913591,export,2011,1
Russia,United Kingdom,563.6974700000001,export,2011,1
China,United Kingdom,3382.800956,export,2011,1
South Korea,United Kingdom,504.700128,export,2011,1
Japan,United Kingdom,1058.81246,export,2011,1
India,United Kingdom,822.8320769999999,export,2011,1
Singapore,United Kingdom,582.400808,export,2011,1
Indonesia,United Kingdom,134.394709,export,2011,1
United States,Netherlands,3051.809571,export,2011,1
Canada,Netherlands,390.5036740000001,export,2011,1
Brazil,Netherlands,891.006464,export,2011,1
United Kingdom,Netherlands,3246.265064,export,2011,1
Netherlands,Netherlands,0.0,export,2011,1
France,Netherlands,1920.86426,export,2011,1
Germany,Netherlands,7023.301606,export,2011,1
Italy,Netherlands,876.828022,export,2011,1
Russia,Netherlands,3457.649704,export,2011,1
China,Netherlands,4407.089063,export,2011,1
South Korea,Netherlands,426.64951500000006,export,2011,1
Japan,Netherlands,1364.206493,export,2011,1
